,item_number,item,country,value_orig,year,converted_value,converted_value_d,converted_value_dthous,converted_value_thous,quantity_head,quantity_tonnes,value,value_thous,ISO3,ISO2,latpc,longpc,exchange_rate,longrc,latrc
10,6,Potatoes and frozen potatoes,Austria,2737,2017,1417.377812,1417.377812,1417377.812,1417377.812,0,910,1827,1827000,AUT,AT,47.516231,14.550072,1.289,-3.435973,55.378051
24,6,Potatoes and frozen potatoes,Belgium,571121,2017,211633.8247,211633.8247,211633824.7,211633824.7,0,298325,272796,272796000,BEL,BE,50.503887,4.469936,1.289,-3.435973,55.378051
46,6,Potatoes and frozen potatoes,China,2,2017,0.77579519,0.77579519,775.7951901,775.7951901,0,1,1,1000,CHN,CN,35.86166,104.195397,1.289,-3.435973,55.378051
57,6,Potatoes and frozen potatoes,Colombia,32,2017,20.17067494,20.17067494,20170.67494,20170.67494,0,6,26,26000,COL,CO,4.570868,-74.297333,1.289,-3.435973,55.378051
60,6,Potatoes and frozen potatoes,Croatia,190,2017,34.13498836,34.13498836,34134.98836,34134.98836,0,146,44,44000,HRV,HR,45.1,15.2,1.289,-3.435973,55.378051
71,6,Potatoes and frozen potatoes,Cyprus,20716,2017,5465.477114,5465.477114,5465477.114,5465477.114,0,13671,7045,7045000,CYP,CY,35.126413,33.429859,1.289,-3.435973,55.378051
79,6,Potatoes and frozen potatoes,Czechia,1,2017,0.77579519,0.77579519,775.7951901,775.7951901,0,0,1,1000,CZE,CZ,49.817492,15.472962,1.289,-3.435973,55.378051
90,6,Potatoes and frozen potatoes,Denmark,4442,2017,1673.390225,1673.390225,1673390.225,1673390.225,0,2285,2157,2157000,DNK,DK,56.26392,9.501785,1.289,-3.435973,55.378051
102,6,Potatoes and frozen potatoes,Egypt,14000,2017,3846.392552,3846.392552,3846392.552,3846392.552,0,9042,4958,4958000,EGY,EG,26.820553,30.802498,1.289,-3.435973,55.378051
119,6,Potatoes and frozen potatoes,France,37024,2017,10519.00698,10519.00698,10519006.98,10519006.98,0,23465,13559,13559000,FRA,FR,46.227638,2.213749,1.289,-3.435973,55.378051
130,6,Potatoes and frozen potatoes,Germany,31795,2017,11414.27463,11414.27463,11414274.63,11414274.63,0,17082,14713,14713000,DEU,DE,51.165691,10.451526,1.289,-3.435973,55.378051
142,6,Potatoes and frozen potatoes,Greece,106,2017,24.04965089,24.04965089,24049.65089,24049.65089,0,75,31,31000,GRC,GR,39.074208,21.824312,1.289,-3.435973,55.378051
149,6,Potatoes and frozen potatoes,Hungary,28,2017,6.206361521,6.206361521,6206.361521,6206.361521,0,20,8,8000,HUN,HU,47.162494,19.503304,1.289,-3.435973,55.378051
161,6,Potatoes and frozen potatoes,India,69,2017,37.23816912,37.23816912,37238.16912,37238.16912,0,21,48,48000,IND,IN,20.593684,78.96288,1.289,-3.435973,55.378051
173,6,Potatoes and frozen potatoes,Ireland,40842,2017,12411.17145,12411.17145,12411171.45,12411171.45,0,24844,15998,15998000,IRL,IE,53.41291,-8.24389,1.289,-3.435973,55.378051
184,6,Potatoes and frozen potatoes,Israel,70828,2017,18678.045,18678.045,18678045,18678045,0,46752,24076,24076000,ISR,IL,31.046051,34.851612,1.289,-3.435973,55.378051
195,6,Potatoes and frozen potatoes,Italy,7065,2017,2005.430566,2005.430566,2005430.566,2005430.566,0,4480,2585,2585000,ITA,IT,41.87194,12.56738,1.289,-3.435973,55.378051
203,6,Potatoes and frozen potatoes,Japan,2,2017,0.77579519,0.77579519,775.7951901,775.7951901,0,1,1,1000,JPN,JP,36.204824,138.252924,1.289,-3.435973,55.378051
